d78e49a0f9486ac540494b3d4b99018fddd3207c,Michael Herrmann,2023-07-17,Fix: find_all() sometimes returned elements twice
1de8deced9bcd5a2b80621f4e01303e661f55bb8,Michael Herrmann,2023-07-05,Fix error in start_chrome
68fadb3ec25b64aea62ba3e391ac9e2741d26103,Michael Herrmann,2023-07-05,Update README.md
1a4f42417375ae552d686a4acaec0c0983c20dbb,Michael Herrmann,2023-07-05,Set version number for release 3.2.0
2cf202f9b8592fb65928bc30d9f9f3b32c154a3f,Michael Herrmann,2023-07-05,Auto-install chromedriver from start_chrome(...)
4c6546c7d7b6edc13549f021ec1bdc53ef812c16,Michael Herrmann,2023-07-03,Bump version for next development iteration
054346f71bdad87997e20bbd32cd859fdbac3fb6,Michael Herrmann,2023-07-03,Set version number for release 3.1.0
e8b8fe94c58d91a75b94bd9ab69cfd47b54cb6f6,Michael Herrmann,2023-07-03,Fix: Selenium calls were broken due to urllib3
0d8b19b3a62124dd0cdbfc7d9c7bec1b69ef20a6,Michael Herrmann,2022-11-20,Bump version for next development iteration
dd18851b997cb984224e8b5a35b1ab8b0f825ed0,Michael Herrmann,2022-11-20,Set version number for release 3.0.9
6a363a80c1aeeaa01cb9041c71f655b52f04eb8d,Michael Herrmann,2022-11-20,Add 3.9 and 3.10 to supported Py versions
e9f181da705ec7a7f176ec4dd6b0571f0d3dc83e,Alec,2022-11-20,Add `profile` param to start_firefox
1ac91d82e286d90a3ce4c356d946a1fc4ab2b519,jerzybrzoska,2022-05-06,Correct repetition error / typo
02f9a5a872871999d683c84461ac0d0b3e9da192,Michael Herrmann,2021-09-03,Bump version for next development iteration
fd2567ac9afe18acd382a4c2ea31858d007f1149,Michael Herrmann,2021-09-03,Set version number for release 3.0.8
e72fb9054669570c66ede4eae3ff02397b4d0083,Michael Herrmann,2021-09-03,Add `maximize` parameter to start_chrome
c3c9f54345b28470d72438065ddb96ccc0ff7428,petrisorionel,2021-09-03,Add `capabilities` parameter to start_chrome
03bb79f6e01eeadaedcb3b0b7975e3b4b3857b85,Michael Herrmann,2021-05-24,Bump version for next development iteration
bfc323682b0bcc2ed1fb98a2ad5c4b481f84bc1f,Michael Herrmann,2021-05-24,Set version number for release 3.0.7
dc8b817f929d1db8e7119fb54161755e890c4a2f,Michael Herrmann,2021-05-24,Fix StaleElementReferenceException
12f983fd20f2298821069781236a1b7edffa4c65,Michael Herrmann,2021-03-23,Revert "Update README.md"
8969331264a0cd1aeece2b5a9ba6e50778fed5d8,Michael Herrmann,2021-03-23,Remove obsolete import
9b2615a0ed2351069ab680d5b2da1b09ba7c5262,Michael Herrmann,2021-03-19,Update README.md
67e35bdabbf2978991ff4f1bbaf605e1f03c0b2f,Michael Herrmann,2021-03-19,Bump version for next development iteration
955e4fcf8199c7e7fead0861f8096195c4b9a8a2,Michael Herrmann,2021-03-19,Set version number for release 3.0.6
f58bb95db5ea823bd6d84982891b04bc1db1b790,Michael Herrmann,2021-03-19,Update requirements\test.txt
68053527f17a308dd957b078c4a0740c22e2fd7a,Michael Herrmann,2021-03-18,Update to ChromeDriver 89.0.4389.23
01e316245351336fc11dc56b31784bc78bc89161,Shubhendra Singh Chauhan,2021-01-04,Small code improvements
3c7c46c58805842a9874043cd77033414f10659b,Michael Herrmann,2020-10-16,Update README.md
0fadc82f96fb1510e825d78c8a74481e1272a279,Michael Herrmann,2020-10-13,Improve wording in documentation
275cbb09186260ac01c50a966e68418f66426b37,Michael Herrmann,2020-10-13,Remove Module Index from docs
aadddce868f70ea66c5a97486b07d0e65d8213dd,Michael Herrmann,2020-10-13,Rename docs file
b0b1639d362da3c7902661150daba505a4ad60c7,Michael Herrmann,2020-10-13,Improve wording
8d74d2ff631fc6465be8d23b037e894ed929f06b,Michael Herrmann,2020-10-13,Rename getting-started.rst to installation.rst
c2eb49b48ae03b687a55f1f8cf9b824c762ba93a,Michael Herrmann,2020-10-13,Update README.md
a0ad3a805170307d40f8ca0144b09ac5d37acdb9,Diptesh Choudhuri,2020-10-13,Extend Sphinx documentation (#43)
ea0a3a128ff1e9f69ac1b22373c51f1a00d62aef,Michael Herrmann,2020-10-12,Update docs README
06c4d910b160a0083c17ed997d3fc9198fe82d9c,Michael Herrmann,2020-10-12,Add requirements files
b53cdf2b82f99a936ce3ff1f1ed5b2fd52a4249d,Michael Herrmann,2020-10-12,Improve my description as Contributor in docs
c720e017327556f225cc51a7bd19b4f8b05ef7ad,Michael Herrmann,2020-10-12,Improve spelling of name "Helium" in docs
b1be5653027b55c7350d9ead7f2d4a8907fc3513,Michael Herrmann,2020-10-12,Improve order of API members in documentation
63eeb23f0f16abfd3cf2971d5feacf4d7a8cc5e4,Michael Herrmann,2020-10-12,Remove duplicate requirements files
dff8c7abd8683bfe2fcbf20571675b05d8c78474,Michael Herrmann,2020-10-12,Correct spelling of Helium in Sphinx documentation
389696ff992feb30e3398549a6e94912a77630e4,Michael Herrmann,2020-10-12,Always use latest year in Sphinx copyright notice
665bef4e18e660f3c4e793f853ea4383ce27f33f,Michael Herrmann,2020-10-12,Add comments
3389e9d4ec5074cf138adc181daf2bab2d9c5b19,Michael Herrmann,2020-10-12,Update project homepage in setup.py
11ad06fdf025943bf6eb1758412823e0574ec9bf,Diptesh Choudhuri,2020-10-12,Add documentation with Sphinx (#42)
0d5d0ef4602aad06f2103611d4c2fa4d19803680,Michael Herrmann,2020-09-14,Bump version for next development iteration
8d39975dc8d7f70a185ee6418146ff78486d76bf,Michael Herrmann,2020-09-14,Set version number for release 3.0.5
6b970dcf170968ffccb3c833d391b71fa14b8447,Michael Herrmann,2020-09-14,Use gecko-/chromedriver from PATH (if available)
a3f8c0cb10de1ed4b603d1e640dabf802650ec69,Michael Herrmann,2020-05-06,Bump version for next development iteration
ffdac9349ba52d74ec45da1cc12880a5170dcbaf,Michael Herrmann,2020-05-06,Set version number for release 3.0.4
4f00b2ca6e2f8e9ad283b7507d7a6b352cd721ab,Michael Herrmann,2020-05-06,Improve support for dragging between `Point`s
710ac9649ef4c49de8ae414e5d1f599ed526c2a7,Michael Herrmann,2020-05-04,Set version number for release 3.0.3
